Artist,Type,Releases,# Albums in Catalog,Percentage of Catalog
Vince Gill,Compilation,2,28,0.07142857142857142
Vince Gill,Extended Play,1,28,0.03571428571428571
Vince Gill,Other,2,28,0.07142857142857142
Vince Gill,Studio,23,28,0.8214285714285714
Vince Staples,Extended Play,2,7,0.2857142857142857
Vince Staples,Mixtape,2,7,0.2857142857142857
Vince Staples,Studio,3,7,0.42857142857142855
Volbeat,Studio,7,7,1.0
Weezer,Compilation,1,19,0.05263157894736842
Weezer,Extended Play,5,19,0.2631578947368421
Weezer,Studio,13,19,0.6842105263157895
Westlife,Compilation,8,39,0.20512820512820512
Westlife,Studio,19,39,0.48717948717948717
Westlife,Video,12,39,0.3076923076923077
Will Pan,Compilation,1,13,0.07692307692307693
Will Pan,Remix,1,13,0.07692307692307693
Will Pan,Studio,11,13,0.8461538461538461
Wisin & Yandel,Collaboration,3,25,0.12
Wisin & Yandel,Compilation,2,25,0.08
Wisin & Yandel,Live,3,25,0.12
Wisin & Yandel,Soundtrack,2,25,0.08
Wisin & Yandel,Studio,15,25,0.6
Within Temptation,Cover,1,13,0.07692307692307693
Within Temptation,Live,5,13,0.38461538461538464
Within Temptation,Studio,7,13,0.5384615384615384
Wiz Khalifa,Collaboration,2,17,0.11764705882352941
Wiz Khalifa,Compilation,1,17,0.058823529411764705
Wiz Khalifa,Mixtape,7,17,0.4117647058823529
Wiz Khalifa,Soundtrack,1,17,0.058823529411764705
Wiz Khalifa,Studio,6,17,0.35294117647058826
Wolfmother,Extended Play,3,8,0.375
Wolfmother,Studio,4,8,0.5
Wolfmother,Video,1,8,0.125
Wonder Girls,Extended Play,4,7,0.5714285714285714
Wonder Girls,Studio,3,7,0.42857142857142855
Wyclef Jean,Compilation,3,11,0.2727272727272727
Wyclef Jean,Studio,8,11,0.7272727272727273
Xuxa,Compilation,1,31,0.03225806451612903
Xuxa,Soundtrack,2,31,0.06451612903225806
Xuxa,Studio,28,31,0.9032258064516129
Yazz,Studio,2,2,1.0
Yeah Yeah Yeahs,Extended Play,3,9,0.3333333333333333
Yeah Yeah Yeahs,Other,1,9,0.1111111111111111
Yeah Yeah Yeahs,Studio,4,9,0.4444444444444444
Yeah Yeah Yeahs,Video,1,9,0.1111111111111111
Yelle,Extended Play,1,4,0.25
Yelle,Studio,3,4,0.75
Yellow Magic Orchestra,Compilation,3,19,0.15789473684210525
Yellow Magic Orchestra,Live,8,19,0.42105263157894735
Yellow Magic Orchestra,Studio,8,19,0.42105263157894735
Yngwie Malmsteen,Compilation,6,35,0.17142857142857143
Yngwie Malmsteen,Live,6,35,0.17142857142857143
Yngwie Malmsteen,Studio,23,35,0.6571428571428571
Yoko Ono,Box set,4,28,0.14285714285714285
Yoko Ono,Compilation,13,28,0.4642857142857143
Yoko Ono,Live,5,28,0.17857142857142858
Yoko Ono,Other,3,28,0.10714285714285714
Yoko Ono,Remix,3,28,0.10714285714285714
Young Jeezy,Collaboration,4,19,0.21052631578947367
Young Jeezy,Mixtape,5,19,0.2631578947368421
Young Jeezy,Other,2,19,0.10526315789473684
Young Jeezy,Studio,8,19,0.42105263157894735
Yung L.A.,Compilation,5,5,1.0
Zendaya,Extended Play,1,2,0.5
Zendaya,Studio,1,2,0.5
Zucchero,Compilation,2,10,0.2
Zucchero,Studio,8,10,0.8
Zélia Duncan,Compilation,2,14,0.14285714285714285
Zélia Duncan,Live,2,14,0.14285714285714285
Zélia Duncan,Studio,10,14,0.7142857142857143
t.A.T.u.,Compilation,3,9,0.3333333333333333
t.A.T.u.,Studio,6,9,0.6666666666666666
will.i.am,Compilation,2,15,0.13333333333333333
will.i.am,Studio,11,15,0.7333333333333333
will.i.am,Video,2,15,0.13333333333333333
