Artist,Type,Releases,# Albums in Catalog,Percentage of Catalog
Dark Tranquility,Compilation,3,14,0.21428571428571427
Dark Tranquility,Studio,11,14,0.7857142857142857
Darude,Studio,4,4,1.0
Dave Matthews Band,Compilation,2,20,0.1
Dave Matthews Band,Extended Play,1,20,0.05
Dave Matthews Band,Studio,9,20,0.45
Dave Matthews Band,Video,8,20,0.4
David Banner,Mixtape,1,7,0.14285714285714285
David Banner,Studio,6,7,0.8571428571428571
David Bisbal,Compilation,1,5,0.2
David Bisbal,Studio,4,5,0.8
David Guetta,Compilation,1,8,0.125
David Guetta,Studio,7,8,0.875
David Nail,Studio,4,4,1.0
Deadmau5,Compilation,10,27,0.37037037037037035
Deadmau5,Extended Play,3,27,0.1111111111111111
Deadmau5,Other,6,27,0.2222222222222222
Deadmau5,Studio,8,27,0.2962962962962963
Debbie Harry,Compilation,14,36,0.3888888888888889
Debbie Harry,Live,3,36,0.08333333333333333
Debbie Harry,Remix,3,36,0.08333333333333333
Debbie Harry,Studio,16,36,0.4444444444444444
Deep Purple,Compilation,23,90,0.25555555555555554
Deep Purple,Live,31,90,0.34444444444444444
Deep Purple,Studio,20,90,0.2222222222222222
Deep Purple,Video,16,90,0.17777777777777778
Demi Lovato,Studio,6,6,1.0
Depeche Mode,Compilation,8,43,0.18604651162790697
Depeche Mode,Live,4,43,0.09302325581395349
Depeche Mode,Studio,14,43,0.32558139534883723
Depeche Mode,Tribute,4,43,0.09302325581395349
Depeche Mode,Video,13,43,0.3023255813953488
Desiigner,Mixtape,1,1,1.0
Dido,Extended Play,1,1,1.0
Die Antwoord,Extended Play,1,6,0.16666666666666666
Die Antwoord,Mixtape,1,6,0.16666666666666666
Die Antwoord,Studio,4,6,0.6666666666666666
Dierks Bentley,Compilation,1,10,0.1
Dierks Bentley,Studio,9,10,0.9
Dire Straits,Compilation,3,12,0.25
Dire Straits,Live,3,12,0.25
Dire Straits,Studio,6,12,0.5
Dizzee Rascal,Studio,6,6,1.0
Dolly Parton,Compilation,18,88,0.20454545454545456
Dolly Parton,Live,3,88,0.03409090909090909
Dolly Parton,Soundtrack,4,88,0.045454545454545456
Dolly Parton,Studio,63,88,0.7159090909090909
Dolores O'Riordan,Compilation,3,17,0.17647058823529413
Dolores O'Riordan,Live,1,17,0.058823529411764705
Dolores O'Riordan,Studio,10,17,0.5882352941176471
Dolores O'Riordan,Video,3,17,0.17647058823529413
Don Omar,Collaboration,5,15,0.3333333333333333
Don Omar,Live,4,15,0.26666666666666666
Don Omar,Studio,6,15,0.4
Donna Lewis,Collaboration,1,5,0.2
Donna Lewis,Studio,4,5,0.8
Dr. Dre,Collaboration,16,36,0.4444444444444444
Dr. Dre,Compilation,13,36,0.3611111111111111
Dr. Dre,Extended Play,1,36,0.027777777777777776
Dr. Dre,Studio,6,36,0.16666666666666666
DragonForce,Compilation,1,10,0.1
DragonForce,Live,2,10,0.2
DragonForce,Studio,7,10,0.7
Dragonette,Compilation,1,5,0.2
Dragonette,Studio,4,5,0.8
Drake Bell,Extended Play,1,5,0.2
Drake Bell,Soundtrack,1,5,0.2
Drake Bell,Studio,3,5,0.6
Duck Sauce,Compilation,1,8,0.125
Duck Sauce,Studio,7,8,0.875
Dulce Maria,Compilation,4,17,0.23529411764705882
Dulce Maria,Live,4,17,0.23529411764705882
Dulce Maria,Other,3,17,0.17647058823529413
Dulce Maria,Video,6,17,0.35294117647058826
Duran Duran,Compilation,10,37,0.2702702702702703
Duran Duran,Live,3,37,0.08108108108108109
Duran Duran,Remix,10,37,0.2702702702702703
Duran Duran,Studio,14,37,0.3783783783783784
Easton Corbin,Studio,3,3,1.0
Eiffel 65,Studio,2,2,1.0
Elena Paparizou,Compilation,10,32,0.3125
Elena Paparizou,Extended Play,12,32,0.375
Elena Paparizou,Other,4,32,0.125
Elena Paparizou,Studio,6,32,0.1875
Ellie Goulding,Extended Play,2,6,0.3333333333333333
Ellie Goulding,Studio,4,6,0.6666666666666666
Elton John,Compilation,18,75,0.24
Elton John,Live,5,75,0.06666666666666667
Elton John,Other,4,75,0.05333333333333334
Elton John,Soundtrack,6,75,0.08
Elton John,Studio,31,75,0.41333333333333333
Elton John,Video,11,75,0.14666666666666667
Emily Osment,Extended Play,1,2,0.5
Emily Osment,Studio,1,2,0.5
Eminem,Collaboration,66,120,0.55
Eminem,Compilation,14,120,0.11666666666666667
Eminem,Extended Play,2,120,0.016666666666666666
Eminem,Soundtrack,10,120,0.08333333333333333
Eminem,Studio,24,120,0.2
Eminem,Video,4,120,0.03333333333333333
Emma Bunton,Compilation,1,11,0.09090909090909091
Emma Bunton,Studio,7,11,0.6363636363636364
Emma Bunton,Video,3,11,0.2727272727272727
Emmelie de Forest,Extended Play,1,1,1.0
Enrique Iglesias,Compilation,12,60,0.2
Enrique Iglesias,Live,1,60,0.016666666666666666
Enrique Iglesias,Studio,45,60,0.75
Enrique Iglesias,Video,2,60,0.03333333333333333
Enter Shikari,Compilation,2,14,0.14285714285714285
Enter Shikari,Live,6,14,0.42857142857142855
Enter Shikari,Remix,1,14,0.07142857142857142
Enter Shikari,Studio,5,14,0.35714285714285715
Enya,Box set,2,41,0.04878048780487805
Enya,Compilation,10,41,0.24390243902439024
Enya,Live,3,41,0.07317073170731707
Enya,Soundtrack,2,41,0.04878048780487805
Enya,Studio,24,41,0.5853658536585366
Eros Ramazzotti,Compilation,2,4,0.5
Eros Ramazzotti,Live,2,4,0.5
Erykah Badu,Other,3,8,0.375
Erykah Badu,Studio,5,8,0.625
Escape the Fate,Extended Play,3,9,0.3333333333333333
Escape the Fate,Studio,6,9,0.6666666666666666
Evanescence,Live,2,8,0.25
Evanescence,Other,2,8,0.25
Evanescence,Studio,4,8,0.5
Fabolous,Mixtape,7,13,0.5384615384615384
Fabolous,Studio,6,13,0.46153846153846156
Faithless,Compilation,3,15,0.2
Faithless,Remix,6,15,0.4
Faithless,Studio,6,15,0.4
Fall Out Boy,Compilation,1,18,0.05555555555555555
Fall Out Boy,Extended Play,7,18,0.3888888888888889
Fall Out Boy,Live,1,18,0.05555555555555555
Fall Out Boy,Other,1,18,0.05555555555555555
Fall Out Boy,Remix,1,18,0.05555555555555555
Fall Out Boy,Studio,7,18,0.3888888888888889
Far East Movement,Studio,3,3,1.0
Fever Ray,Remix,2,11,0.18181818181818182
Fever Ray,Soundtrack,1,11,0.09090909090909091
Fever Ray,Studio,7,11,0.6363636363636364
Fever Ray,Video,1,11,0.09090909090909091
Finger Eleven,Compilation,1,8,0.125
Finger Eleven,Studio,7,8,0.875
Fish Leong,Compilation,2,14,0.14285714285714285
Fish Leong,Studio,12,14,0.8571428571428571
Five for Fighting,Live,1,7,0.14285714285714285
Five for Fighting,Studio,6,7,0.8571428571428571
Flo Rida,Studio,4,4,1.0
Florence Welch,Live,2,6,0.3333333333333333
Florence Welch,Studio,4,6,0.6666666666666666
Florence and the Machine,Live,2,6,0.3333333333333333
Florence and the Machine,Studio,4,6,0.6666666666666666
Frankie Goes to Hollywood,Compilation,10,12,0.8333333333333334
Frankie Goes to Hollywood,Studio,2,12,0.16666666666666666
French Montana,Collaboration,2,17,0.11764705882352941
French Montana,Compilation,3,17,0.17647058823529413
French Montana,Mixtape,10,17,0.5882352941176471
French Montana,Studio,2,17,0.11764705882352941
G.NA,Collaboration,1,2,0.5
G.NA,Studio,1,2,0.5
Gary Allan,Compilation,2,11,0.18181818181818182
Gary Allan,Studio,9,11,0.8181818181818182
George Benson,Compilation,5,41,0.12195121951219512
George Benson,Live,2,41,0.04878048780487805
George Benson,Studio,34,41,0.8292682926829268
George Harrison,Box set,6,36,0.16666666666666666
George Harrison,Collaboration,3,36,0.08333333333333333
George Harrison,Compilation,5,36,0.1388888888888889
George Harrison,Live,8,36,0.2222222222222222
George Harrison,Studio,14,36,0.3888888888888889
George Michael,Compilation,5,15,0.3333333333333333
George Michael,Live,3,15,0.2
George Michael,Studio,7,15,0.4666666666666667
George Strait,Box set,2,51,0.0392156862745098
George Strait,Compilation,12,51,0.23529411764705882
George Strait,Live,3,51,0.058823529411764705
George Strait,Other,4,51,0.0784313725490196
George Strait,Studio,30,51,0.5882352941176471
Ghostface Killah,Collaboration,13,44,0.29545454545454547
Ghostface Killah,Compilation,7,44,0.1590909090909091
Ghostface Killah,Other,16,44,0.36363636363636365
Ghostface Killah,Studio,8,44,0.18181818181818182
Gin Lee,Studio,1,1,1.0
Giorgio Moroder,Soundtrack,7,19,0.3684210526315789
Giorgio Moroder,Studio,12,19,0.631578947368421
Girls' Generation,Extended Play,6,16,0.375
Girls' Generation,Video,10,16,0.625
Glasses Malone,Compilation,1,1,1.0
Godsmack,Compilation,1,11,0.09090909090909091
Godsmack,Extended Play,1,11,0.09090909090909091
Godsmack,Live,1,11,0.09090909090909091
Godsmack,Other,1,11,0.09090909090909091
Godsmack,Studio,7,11,0.6363636363636364
Gorillaz,Collaboration,6,137,0.043795620437956206
Gorillaz,Compilation,43,137,0.31386861313868614
Gorillaz,Extended Play,8,137,0.058394160583941604
Gorillaz,Live,10,137,0.072992700729927
Gorillaz,Remix,1,137,0.0072992700729927005
Gorillaz,Soundtrack,2,137,0.014598540145985401
